text,category,priority
"Ошибка 500 на странице, не понимаю! Уже жду ответа.",Technical,Medium
"Добрый день, ошибка 500 на странице, помогите!",Technical,Medium
"Сервис тормозит очень сильно, вопрос!!",Technical,Medium
Сайт не открывается.,Technical,Medium
"Здравствуйте! Сайт не открывается, вопрос!",Technical,Medium
"Помогите! Приложение вылетает при запуске, вопрос!",Technical,Medium
Ошибка 500 на странице!,Technical,Low
Сервис тормозит очень сильно.,Technical,Low
Здравствуйте! Ошибка 500 на странице,Technical,Low
Помогите! Сайт не открывается,Technical,Low
Ошибка 500 на странице Уже жду ответа.,Technical,Low
"Добрый день, не работает кнопка оформления, интересно!",Technical,Low
Ошибка 500 на странице!,Technical,Low
Сервис тормозит очень сильно.,Technical,Low
Здравствуйте! Сервис тормозит очень сильно,Technical,Low
Помогите! Сервис тормозит очень сильно,Technical,Low
Сайт не открывается Уже жду ответа.,Technical,Low
"Добрый день, не работает кнопка оформления",Technical,Low
Сайт не открывается!,Technical,Low
"Не работает кнопка оформления, спасибо!.",Technical,Low
Здравствуйте! Приложение вылетает при запуске,Technical,Low
Помогите! Приложение вылетает при запуске,Technical,Low
Сервис тормозит очень сильно Уже жду ответа.,Technical,Low
"Добрый день, приложение вылетает при запуске",Technical,Low
Сайт не открывается!,Technical,Low
Не работает кнопка оформления.,Technical,Low
Здравствуйте! Ошибка 500 на странице,Technical,Low
Помогите! Сайт не открывается,Technical,Low
Ошибка 500 на странице Уже жду ответа.,Technical,Low
"Добрый день, ошибка 500 на странице",Technical,Low
Приложение вылетает при запуске!,Technical,Low
Не работает кнопка оформления.,Technical,Low
Здравствуйте! Не работает кнопка оформления,Technical,Low
Помогите! Приложение вылетает при запуске,Technical,Low
Ошибка 500 на странице Уже жду ответа.,Technical,Low
"Добрый день, ошибка 500 на странице, всё хорошо!",Technical,Low
Сайт не открывается!,Technical,Low
Приложение вылетает при запуске.,Technical,Low
Здравствуйте! Приложение вылетает при запуске,Technical,Low
Помогите! Не работает кнопка оформления,Technical,Low
"Посылка задерживается уже неделю, срочно!!",Delivery,High
"Не могу отследить доставку, катастрофа!.",Delivery,High
"Здравствуйте! Где мой заказ?, быстро!",Delivery,High
Помогите! Адрес доставки указан неверно,Delivery,High
Посылка задерживается уже неделю Уже жду ответа.,Delivery,High
"Добрый день, курьер не приехал вовремя",Delivery,High
Курьер не приехал вовремя!,Delivery,High
Курьер не приехал вовремя.,Delivery,High
"Здравствуйте! Адрес доставки указан неверно, немедленно!",Delivery,High
Помогите! Адрес доставки указан неверно,Delivery,High
Посылка задерживается уже неделю Уже жду ответа.,Delivery,High
"Добрый день, посылка задерживается уже неделю",Delivery,High
Не могу отследить доставку!,Delivery,High
Посылка задерживается уже неделю.,Delivery,High
Здравствуйте! Курьер не приехал вовремя,Delivery,High
Помогите! Адрес доставки указан неверно,Delivery,High
Посылка задерживается уже неделю Уже жду ответа.,Delivery,High
"Добрый день, посылка задерживается уже неделю",Delivery,High
Курьер не приехал вовремя!,Delivery,High
Где мой заказ?.,Delivery,High
Здравствуйте! Не могу отследить доставку,Delivery,High
Помогите! Курьер не приехал вовремя,Delivery,High
Курьер не приехал вовремя Уже жду ответа.,Delivery,High
"Добрый день, где мой заказ?",Delivery,High
Посылка задерживается уже неделю!,Delivery,High
Не могу отследить доставку.,Delivery,High
Здравствуйте! Где мой заказ?,Delivery,High
"Помогите! Где мой заказ?, быстро!",Delivery,High
Не могу отследить доставку Уже жду ответа.,Delivery,High
"Добрый день, не могу отследить доставку",Delivery,High
Не могу отследить доставку!,Delivery,High
Где мой заказ?.,Delivery,High
Здравствуйте! Посылка задерживается уже неделю,Delivery,High
Помогите! Адрес доставки указан неверно,Delivery,High
Адрес доставки указан неверно!,Delivery,Medium
"Посылка задерживается уже неделю, вопрос!.",Delivery,Medium
"Здравствуйте! Адрес доставки указан неверно, подскажите!",Delivery,Medium
Помогите! Не могу отследить доставку,Delivery,Medium
Где мой заказ? Уже жду ответа.,Delivery,Medium
"Добрый день, курьер не приехал вовремя",Delivery,Medium
Курьер не приехал вовремя!,Delivery,Medium
Посылка задерживается уже неделю.,Delivery,Medium
"Здравствуйте! Где мой заказ?, помогите!",Delivery,Medium
Помогите! Курьер не приехал вовремя,Delivery,Medium
Посылка задерживается уже неделю Уже жду ответа.,Delivery,Medium
"Добрый день, посылка задерживается уже неделю",Delivery,Medium
Не могу отследить доставку!,Delivery,Medium
Не могу отследить доставку.,Delivery,Medium
Здравствуйте! Не могу отследить доставку,Delivery,Medium
Помогите! Где мой заказ?,Delivery,Medium
Не могу отследить доставку Уже жду ответа.,Delivery,Medium
"Добрый день, где мой заказ?",Delivery,Medium
"Курьер не приехал вовремя, не понимаю!!",Delivery,Medium
Курьер не приехал вовремя.,Delivery,Medium
Здравствуйте! Адрес доставки указан неверно,Delivery,Medium
"Помогите! Не могу отследить доставку, помогите!",Delivery,Medium
Не могу отследить доставку Уже жду ответа.,Delivery,Medium
"Добрый день, где мой заказ?",Delivery,Medium
Курьер не приехал вовремя!,Delivery,Medium
Адрес доставки указан неверно.,Delivery,Medium
Здравствуйте! Адрес доставки указан неверно,Delivery,Medium
Помогите! Не могу отследить доставку,Delivery,Medium
Адрес доставки указан неверно Уже жду ответа.,Delivery,Medium
"Добрый день, адрес доставки указан неверно",Delivery,Medium
Адрес доставки указан неверно!,Delivery,Medium
Курьер не приехал вовремя.,Delivery,Medium
Здравствуйте! Курьер не приехал вовремя,Delivery,Medium
Помогите! Посылка задерживается уже неделю,Delivery,Medium
Посылка задерживается уже неделю!,Delivery,Low
Не могу отследить доставку.,Delivery,Low
"Здравствуйте! Адрес доставки указан неверно, спасибо!",Delivery,Low
Помогите! Адрес доставки указан неверно,Delivery,Low
Адрес доставки указан неверно Уже жду ответа.,Delivery,Low
"Добрый день, где мой заказ?",Delivery,Low
Адрес доставки указан неверно!,Delivery,Low
Курьер не приехал вовремя.,Delivery,Low
Здравствуйте! Посылка задерживается уже неделю,Delivery,Low
Помогите! Посылка задерживается уже неделю,Delivery,Low
"Не могу отследить доставку, спасибо! Уже жду ответа.",Delivery,Low
"Добрый день, адрес доставки указан неверно",Delivery,Low
Курьер не приехал вовремя!,Delivery,Low
Не могу отследить доставку.,Delivery,Low
Здравствуйте! Не могу отследить доставку,Delivery,Low
Помогите! Посылка задерживается уже неделю,Delivery,Low
"Курьер не приехал вовремя, спасибо! Уже жду ответа.",Delivery,Low
"Добрый день, не могу отследить доставку",Delivery,Low
Не могу отследить доставку!,Delivery,Low
Не могу отследить доставку.,Delivery,Low
Здравствуйте! Адрес доставки указан неверно,Delivery,Low
Помогите! Не могу отследить доставку,Delivery,Low
Где мой заказ? Уже жду ответа.,Delivery,Low
"Добрый день, посылка задерживается уже неделю",Delivery,Low
"Посылка задерживается уже неделю, интересно!!",Delivery,Low
Адрес доставки указан неверно.,Delivery,Low
Здравствуйте! Курьер не приехал вовремя,Delivery,Low
Помогите! Где мой заказ?,Delivery,Low
Адрес доставки указан неверно Уже жду ответа.,Delivery,Low
"Добрый день, где мой заказ?, спасибо!",Delivery,Low
Адрес доставки указан неверно!,Delivery,Low
"Где мой заказ?, интересно!.",Delivery,Low
Здравствуйте! Посылка задерживается уже неделю,Delivery,Low
Помогите! Где мой заказ?,Delivery,Low
Не могу войти в аккаунт!,Account,High
Аккаунт заблокирован.,Account,High
Здравствуйте! не приходит код подтверждения,Account,High
Помогите! Не могу войти в аккаунт,Account,High
Не могу войти в аккаунт Уже жду ответа.,Account,High
"Добрый день, не приходит код подтверждения, срочно!",Account,High
Не могу войти в аккаунт!,Account,High
Не могу войти в аккаунт.,Account,High
Здравствуйте! Не приходит код подтверждения,Account,High
Помогите! Не приходит код подтверждения,Account,High
Не приходит код подтверждения Уже жду ответа.,Account,High
"Добрый день, не приходит код подтверждения",Account,High
Не приходит код подтверждения!,Account,High
Не могу войти в аккаунт.,Account,High
Здравствуйте! Не приходит код подтверждения,Account,High
Помогите! Забыл пароль от личного кабинета,Account,High
Нужно сменить email в профиле Уже жду ответа.,Account,High
"Добрый день, забыл пароль от личного кабинета",Account,High
Нужно сменить email в профиле!,Account,High
Не могу войти в аккаунт.,Account,High
Здравствуйте! Не могу войти в аккаунт,Account,High
Помогите! Не приходит код подтверждения,Account,High
"Аккаунт заблокирован, катастрофа! Уже жду ответа.",Account,High
"Добрый день, аккаунт заблокирован, быстро!",Account,High
Не приходит код подтверждения!,Account,High
Аккаунт заблокирован.,Account,High
Здравствуйте! Забыл пароль от личного кабинета,Account,High
Помогите! Аккаунт заблокирован,Account,High
Не могу войти в аккаунт Уже жду ответа.,Account,High
"Добрый день, аккаунт заблокирован",Account,High
"Забыл пароль от личного кабинета, катастрофа!!",Account,High
Не приходит код подтверждения.,Account,High
Здравствуйте! Не приходит код подтверждения,Account,High
Помогите! Не приходит код подтверждения,Account,High
Аккаунт заблокирован!,Account,Medium
Не приходит код подтверждения.,Account,Medium
"Здравствуйте! Не могу войти в аккаунт, помогите!",Account,Medium
"Помогите! Забыл пароль от личного кабинета, подскажите!",Account,Medium
Нужно сменить email в профиле Уже жду ответа.,Account,Medium
"Добрый день, не могу войти в аккаунт",Account,Medium
Не приходит код подтверждения!,Account,Medium
Не могу войти в аккаунт.,Account,Medium
Здравствуйте! Не могу войти в аккаунт,Account,Medium
Помогите! Забыл пароль от личного кабинета,Account,Medium
Аккаунт заблокирован Уже жду ответа.,Account,Medium
"Добрый день, не могу войти в аккаунт",Account,Medium
Аккаунт заблокирован!,Account,Medium
Аккаунт заблокирован.,Account,Medium
Здравствуйте! Забыл пароль от личного кабинета,Account,Medium
Помогите! Нужно сменить email в профиле,Account,Medium
Аккаунт заблокирован Уже жду ответа.,Account,Medium
"Добрый день, забыл пароль от личного кабинета",Account,Medium
Не могу войти в аккаунт!,Account,Medium
Не могу войти в аккаунт.,Account,Medium
Здравствуйте! Забыл пароль от личного кабинета,Account,Medium
"Помогите! Забыл пароль от личного кабинета, не понимаю!",Account,Medium
Не приходит код подтверждения Уже жду ответа.,Account,Medium
"Добрый день, аккаунт заблокирован",Account,Medium
Нужно сменить email в профиле!,Account,Medium
Не могу войти в аккаунт.,Account,Medium
Здравствуйте! Не приходит код подтверждения,Account,Medium
Помогите! Нужно сменить email в профиле,Account,Medium
Аккаунт заблокирован Уже жду ответа.,Account,Medium
"Добрый день, нужно сменить email в профиле, не понимаю!",Account,Medium
Забыл пароль от личного кабинета!,Account,Medium
Не приходит код подтверждения.,Account,Medium
Здравствуйте! Не приходит код подтверждения,Account,Medium
Помогите! Не могу войти в аккаунт,Account,Medium
Не приходит код подтверждения!,Account,Low
Не могу войти в аккаунт.,Account,Low
"Здравствуйте! Нужно сменить email в профиле, спасибо!",Account,Low
Помогите! Не приходит код подтверждения,Account,Low
Забыл пароль от личного кабинета Уже жду ответа.,Account,Low
"Добрый день, нужно сменить email в профиле",Account,Low
Нужно сменить email в профиле!,Account,Low
Нужно сменить email в профиле.,Account,Low
Здравствуйте! Не приходит код подтверждения,Account,Low
"Помогите! Забыл пароль от личного кабинета, интересно!",Account,Low
Не могу войти в аккаунт Уже жду ответа.,Account,Low
"Добрый день, забыл пароль от личного кабинета, интересно!",Account,Low
"Забыл пароль от личного кабинета, благодарю!!",Account,Low
Нужно сменить email в профиле.,Account,Low
"Здравствуйте! Не приходит код подтверждения, спасибо!",Account,Low
"Помогите! Забыл пароль от личного кабинета, интересно!",Account,Low
"Аккаунт заблокирован, спасибо! Уже жду ответа.",Account,Low
"Добрый день, аккаунт заблокирован",Account,Low
Не приходит код подтверждения!,Account,Low
Забыл пароль от личного кабинета.,Account,Low
Здравствуйте! Не могу войти в аккаунт,Account,Low
Помогите! Забыл пароль от личного кабинета,Account,Low
Аккаунт заблокирован Уже жду ответа.,Account,Low
"Добрый день, аккаунт заблокирован",Account,Low
Забыл пароль от личного кабинета!,Account,Low
Забыл пароль от личного кабинета.,Account,Low
Здравствуйте! Забыл пароль от личного кабинета,Account,Low
Помогите! Не могу войти в аккаунт,Account,Low
Не могу войти в аккаунт Уже жду ответа.,Account,Low
"Добрый день, нужно сменить email в профиле, благодарю!",Account,Low
Нужно сменить email в профиле!,Account,Low
Аккаунт заблокирован.,Account,Low
Здравствуйте! Аккаунт заблокирован,Account,Low
Помогите! Не приходит код подтверждения,Account,Low
Где найти информацию о компании?!,Other,High
"Всё понравилось, буду заказывать ещё.",Other,High
"Здравствуйте! Всё понравилось, буду заказывать ещё",Other,High
Помогите! Спасибо за быстрый ответ,Other,High
Где найти информацию о компании? Уже жду ответа.,Other,High
"Добрый день, есть вопрос по условиям сервиса, немедленно!",Other,High
Где найти информацию о компании?!,Other,High
"Всё понравилось, буду заказывать ещё.",Other,High
"Здравствуйте! Всё понравилось, буду заказывать ещё, срочно!",Other,High
Помогите! Где найти информацию о компании?,Other,High
Есть вопрос по условиям сервиса Уже жду ответа.,Other,High
"Добрый день, есть вопрос по условиям сервиса",Other,High
"Спасибо за быстрый ответ, немедленно!!",Other,High
"Всё понравилось, буду заказывать ещё.",Other,High
Здравствуйте! Где найти информацию о компании?,Other,High
Помогите! Спасибо за быстрый ответ,Other,High
Где найти информацию о компании? Уже жду ответа.,Other,High
"Добрый день, всё понравилось, буду заказывать ещё",Other,High
Есть вопрос по условиям сервиса!,Other,High
"Есть вопрос по условиям сервиса, ужас!.",Other,High
Здравствуйте! Хочу оставить отзыв,Other,High
"Помогите! Всё понравилось, буду заказывать ещё",Other,High
Есть вопрос по условиям сервиса Уже жду ответа.,Other,High
"Добрый день, где найти информацию о компании?",Other,High
"Всё понравилось, буду заказывать ещё!",Other,High
Хочу оставить отзыв.,Other,High
"Здравствуйте! Всё понравилось, буду заказывать ещё",Other,High
"Помогите! Всё понравилось, буду заказывать ещё, быстро!",Other,High
"Спасибо за быстрый ответ, ужас! Уже жду ответа.",Other,High
"Добрый день, хочу оставить отзыв, быстро!",Other,High
"Есть вопрос по условиям сервиса, срочно!!",Other,High
Где найти информацию о компании?.,Other,High
Здравствуйте! Спасибо за быстрый ответ,Other,High
Помогите! Есть вопрос по условиям сервиса,Other,High
Где найти информацию о компании?!,Other,Medium
Спасибо за быстрый ответ.,Other,Medium
Здравствуйте! Где найти информацию о компании?,Other,Medium
"Помогите! Спасибо за быстрый ответ, помогите!",Other,Medium
Есть вопрос по условиям сервиса Уже жду ответа.,Other,Medium
"Добрый день, хочу оставить отзыв",Other,Medium
Где найти информацию о компании?!,Other,Medium
Есть вопрос по условиям сервиса.,Other,Medium
Здравствуйте! Спасибо за быстрый ответ,Other,Medium
Помогите! Спасибо за быстрый ответ,Other,Medium
"Спасибо за быстрый ответ, помогите! Уже жду ответа.",Other,Medium
"Добрый день, спасибо за быстрый ответ",Other,Medium
"Хочу оставить отзыв, не понимаю!!",Other,Medium
Спасибо за быстрый ответ.,Other,Medium
Здравствуйте! Где найти информацию о компании?,Other,Medium
Помогите! Где найти информацию о компании?,Other,Medium
"Всё понравилось, буду заказывать ещё Уже жду ответа.",Other,Medium
"Добрый день, хочу оставить отзыв",Other,Medium
Спасибо за быстрый ответ!,Other,Medium
Спасибо за быстрый ответ.,Other,Medium
Здравствуйте! Где найти информацию о компании?,Other,Medium
Помогите! Хочу оставить отзыв,Other,Medium
"Всё понравилось, буду заказывать ещё Уже жду ответа.",Other,Medium
"Добрый день, спасибо за быстрый ответ",Other,Medium
"Всё понравилось, буду заказывать ещё!",Other,Medium
"Хочу оставить отзыв, вопрос!.",Other,Medium
Здравствуйте! Хочу оставить отзыв,Other,Medium
Помогите! Спасибо за быстрый ответ,Other,Medium
Хочу оставить отзыв Уже жду ответа.,Other,Medium
"Добрый день, спасибо за быстрый ответ",Other,Medium
Где найти информацию о компании?!,Other,Medium
"Всё понравилось, буду заказывать ещё.",Other,Medium
Здравствуйте! Спасибо за быстрый ответ,Other,Medium
"Помогите! Хочу оставить отзыв, не понимаю!",Other,Medium
"Где найти информацию о компании?, интересно!!",Other,Low
"Всё понравилось, буду заказывать ещё.",Other,Low
"Здравствуйте! Спасибо за быстрый ответ, благодарю!",Other,Low
"Помогите! Всё понравилось, буду заказывать ещё",Other,Low
"Хочу оставить отзыв, всё хорошо! Уже жду ответа.",Other,Low
"Добрый день, есть вопрос по условиям сервиса",Other,Low
"Хочу оставить отзыв, спасибо!!",Other,Low
Спасибо за быстрый ответ.,Other,Low
Здравствуйте! Где найти информацию о компании?,Other,Low
"Помогите! Всё понравилось, буду заказывать ещё",Other,Low
"Где найти информацию о компании?, интересно! Уже жду ответа.",Other,Low
"Добрый день, спасибо за быстрый ответ, спасибо!",Other,Low
"Всё понравилось, буду заказывать ещё, интересно!!",Other,Low
"Всё понравилось, буду заказывать ещё, интересно!.",Other,Low
Здравствуйте! Хочу оставить отзыв,Other,Low
"Помогите! Хочу оставить отзыв, спасибо!",Other,Low
Есть вопрос по условиям сервиса Уже жду ответа.,Other,Low
"Добрый день, всё понравилось, буду заказывать ещё",Other,Low
Спасибо за быстрый ответ!,Other,Low
"Всё понравилось, буду заказывать ещё.",Other,Low
"Здравствуйте! Спасибо за быстрый ответ, интересно!",Other,Low
Помогите! Хочу оставить отзыв,Other,Low
Где найти информацию о компании? Уже жду ответа.,Other,Low
"Добрый день, всё понравилось, буду заказывать ещё",Other,Low
Есть вопрос по условиям сервиса!,Other,Low
Есть вопрос по условиям сервиса.,Other,Low
Здравствуйте! Есть вопрос по условиям сервиса,Other,Low
"Помогите! Спасибо за быстрый ответ, спасибо!",Other,Low
Спасибо за быстрый ответ Уже жду ответа.,Other,Low
"Добрый день, где найти информацию о компании?",Other,Low
Есть вопрос по условиям сервиса!,Other,Low
Хочу оставить отзыв.,Other,Low
Здравствуйте! Есть вопрос по условиям сервиса,Other,Low
Помогите! Где найти информацию о компании?,Other,Low
